iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ARE,Asia,United Arab Emirates,1/29/2020,4,4,,,,,0.404,0.404,,,,,,,,,,,,,,75,75,0.008,0.008,,,,,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,1/30/2020,4,0,,,,,0.404,0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,1/31/2020,4,0,,,,,0.404,0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/1/2020,4,0,,,,,0.404,0,,,,,,,,,,,,,,183,258,0.026,0.019,,,,,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/2/2020,5,1,,,,,0.506,0.101,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/3/2020,5,0,0.714,,,0,0.506,0,0.072,,,0,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/4/2020,5,0,0.714,,,0,0.506,0,0.072,,,0,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/5/2020,5,0,0.143,,,0,0.506,0,0.014,,,0,,,,,,,,,,,,,,73,0.007,0.002,510.5,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/6/2020,5,0,0.143,,,0,0.506,0,0.014,,,0,,,,,,,,,,,,,,76,0.008,0.002,531.5,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/7/2020,5,0,0.143,,,0,0.506,0,0.014,,,0,,,,,,,,,,,,,,79,0.008,0.002,552.4,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/8/2020,7,2,0.429,,,0,0.708,0.202,0.043,,,0,,,,,,,,,,574,832,0.084,0.058,82,0.008,0.005,191.1,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/9/2020,7,0,0.286,,,0,0.708,0,0.029,,,0,,,,,,,,,,1360,2192,0.222,0.138,265,0.027,0.001,926.6,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
ARE,Asia,United Arab Emirates,2/10/2020,8,1,0.429,,,0,0.809,0.101,0.043,,,0,,,,,,,,,,437,2629,0.266,0.044,315,0.032,0.001,734.3,tests performed,,,,,,,,,,2.78,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
